league,season,game,team,player,jersey_number,nation,pos,age,min,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp%,prgp,carries,prgc,succ,league_misc,season_misc,jersey_number_misc,nation_misc,pos_misc,age_misc,min_misc,crdy_misc,crdr_misc,2crdy,fls,fld,off,crs,int_misc,tklw,pkwon,pkcon,og,recov,won,lost,won%,date
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Arnau Martinez,4,ESP,RB,22-112,57,0,0,0,0,0,0,0,0,51,1,1,2,0.0,0.0,0.0,0,0,34,43,79.1,0,33,1,0,ESP-La Liga,2526,4,ESP,RB,22-112,57,0,0,0,0,1,0,2,1,1,0,0,0,2,1,0,100.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Bojan Miovski,19,MKD,FW,26-052,44,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,ESP-La Liga,2526,19,MKD,FW,26-052,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Daley Blind,17,NED,"LB,CB",35-159,57,0,0,0,0,0,0,0,0,36,3,0,1,0.0,0.0,0.0,1,0,28,31,90.3,2,19,0,0,ESP-La Liga,2526,17,NED,"LB,CB",35-159,57,0,0,0,0,0,0,0,0,2,0,0,0,5,3,1,75.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,David López,5,ESP,CB,35-310,90,0,0,0,0,0,0,0,0,79,1,0,1,0.0,0.0,0.0,0,0,59,76,77.6,5,54,1,0,ESP-La Liga,2526,5,ESP,CB,35-310,90,0,0,0,1,0,1,0,0,1,0,0,0,6,1,0,100.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Hugo Rincón,2,ESP,RB,22-200,33,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,15,22,68.2,1,13,1,1,ESP-La Liga,2526,2,ESP,RB,22-200,33,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Jhon Solis,22,COL,CM,20-316,90,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,1,0,30,33,90.9,2,30,0,2,ESP-La Liga,2526,22,COL,CM,20-316,90,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Joel Roca,33,ESP,"LB,LM",20-069,90,1,0,0,0,1,1,0,0,31,3,0,1,0.3,0.3,0.0,0,0,12,17,70.6,0,26,2,3,ESP-La Liga,2526,33,ESP,"LB,LM",20-069,90,0,0,0,1,2,0,1,0,2,0,0,0,5,1,1,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Ladislav Krejčí,18,CZE,CB,26-117,90,0,0,0,0,1,0,0,0,51,0,1,2,0.1,0.1,0.0,1,0,37,42,88.1,2,33,0,0,ESP-La Liga,2526,18,CZE,CB,26-117,90,0,0,0,1,0,0,0,1,0,0,0,0,6,3,3,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Paulo Gazzaniga,13,ARG,GK,33-225,42,0,0,0,0,0,0,0,1,18,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,0,14,0,0,ESP-La Liga,2526,13,ARG,GK,33-225,42,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Portu,8,ESP,FW,33-086,45,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.1,1,0,8,11,72.7,1,5,0,0,ESP-La Liga,2526,8,ESP,FW,33-086,45,0,0,0,0,1,0,2,0,0,0,0,0,1,2,1,66.7,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Thomas Lemar,11,FRA,CM,29-276,21,0,0,0,0,2,1,0,0,28,1,0,0,0.1,0.1,0.0,3,0,18,22,81.8,7,18,0,1,ESP-La Liga,2526,11,FRA,CM,29-276,21,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Viktor Tsyhankov,15,UKR,"CM,RW",27-273,90,0,1,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.3,3,2,21,31,67.7,0,19,2,1,ESP-La Liga,2526,15,UKR,"CM,RW",27-273,90,0,0,0,2,3,0,2,0,2,0,0,0,0,1,1,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Vitor Reis,12,BRA,CB,19-215,33,0,0,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.0,0,0,14,21,66.7,2,14,0,0,ESP-La Liga,2526,12,BRA,CB,19-215,33,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Vladyslav Krapyvtsov,25,UKR,GK,20-051,46,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,13,27,48.1,0,14,0,0,ESP-La Liga,2526,25,UKR,GK,20-051,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Yangel Herrera,21,VEN,"RM,CM",27-213,69,0,0,0,0,1,0,0,0,27,0,0,1,0.0,0.0,0.0,0,0,13,21,61.9,0,18,1,1,ESP-La Liga,2526,21,VEN,"RM,CM",27-213,69,0,0,0,1,3,0,2,0,0,0,0,0,3,2,4,33.3,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Yaser Asprilla,10,COL,LW,21-269,45,0,0,0,0,1,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,10,0,0,ESP-La Liga,2526,10,COL,LW,21-269,45,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Alfonso Espino,22,URU,LB,33-222,6,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,13,15,86.7,1,10,2,0,ESP-La Liga,2526,22,URU,LB,33-222,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Andrei Ratiu,2,ROU,RB,27-056,90,0,0,0,0,0,0,0,0,79,5,1,0,0.0,0.0,0.2,3,0,55,63,87.3,5,47,2,3,ESP-La Liga,2526,2,ROU,RB,27-056,90,0,0,0,1,1,0,3,1,3,0,0,0,3,0,3,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Augusto Batalla,13,ARG,GK,29-107,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,17,25,68.0,0,20,0,0,ESP-La Liga,2526,13,ARG,GK,29-107,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Florian Lejeune,24,FRA,CB,34-087,90,0,0,0,0,2,0,0,0,76,1,0,1,0.1,0.1,0.0,2,0,56,68,82.4,2,53,0,0,ESP-La Liga,2526,24,FRA,CB,34-087,90,0,0,0,3,0,0,0,0,0,0,0,0,4,2,1,66.7,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Gerard Gumbau,15,ESP,AM,30-240,21,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,5,0,0,ESP-La Liga,2526,15,ESP,AM,30-240,21,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Isaac Palazón Camacho,7,ESP,RW,30-231,90,1,0,1,1,1,0,0,0,57,1,0,2,0.8,0.0,0.3,7,0,42,47,89.4,6,33,1,1,ESP-La Liga,2526,7,ESP,RW,30-231,90,0,0,0,0,1,0,5,0,1,0,0,0,5,4,2,66.7,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Jorge de Frutos,19,ESP,FW,28-176,80,1,1,0,0,2,1,0,0,16,1,0,0,0.6,0.6,0.9,3,3,4,7,57.1,0,12,1,1,ESP-La Liga,2526,19,ESP,FW,28-176,80,0,0,0,4,2,0,0,0,1,1,0,0,3,0,2,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Luiz Felipe,5,ITA,CB,28-146,45,0,0,0,0,0,0,1,0,33,1,0,1,0.0,0.0,0.0,0,0,29,31,93.5,1,19,2,0,ESP-La Liga,2526,5,ITA,CB,28-146,45,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Pathé Ciss,6,SEN,DM,31-152,90,0,0,0,0,2,1,0,0,69,6,2,1,0.7,0.7,0.0,0,0,46,50,92.0,6,36,2,0,ESP-La Liga,2526,6,SEN,DM,31-152,90,0,0,0,2,0,1,0,2,1,0,0,0,2,2,2,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Pedro Díaz,4,ESP,AM,27-071,69,0,0,0,0,2,0,0,0,30,2,0,1,0.0,0.0,0.0,2,0,18,21,85.7,3,19,0,1,ESP-La Liga,2526,4,ESP,AM,27-071,69,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Pelayo Fernandez,27,ESP,CB,22-108,45,0,0,0,0,1,0,0,0,40,1,0,0,0.0,0.0,0.0,0,0,30,35,85.7,1,22,0,0,ESP-La Liga,2526,27,ESP,CB,22-108,45,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,60.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Pep Chavarría,3,ESP,"LB,LW",27-127,90,0,0,0,0,2,0,0,0,81,2,2,2,0.1,0.1,0.0,2,0,57,66,86.4,3,40,3,0,ESP-La Liga,2526,3,ESP,"LB,LW",27-127,90,0,0,0,1,3,0,3,2,0,0,0,0,5,3,0,100.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Randy Nteka,11,ANG,FW,27-252,10,0,0,0,0,0,0,0,0,7,2,0,1,0.0,0.0,0.0,1,0,1,1,100.0,0,2,0,0,ESP-La Liga,2526,11,ANG,FW,27-252,10,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Unai López,17,ESP,DM,29-289,80,0,0,0,0,1,0,0,0,69,3,2,0,0.0,0.0,0.0,1,0,58,61,95.1,5,47,1,1,ESP-La Liga,2526,17,ESP,DM,29-289,80,0,0,0,2,0,0,0,2,1,0,0,0,6,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Álvaro García,18,ESP,LW,32-292,84,1,0,0,0,1,1,0,0,16,1,0,0,0.9,0.9,0.5,1,0,7,14,50.0,1,9,0,0,ESP-La Liga,2526,18,ESP,LW,32-292,84,0,0,0,0,0,0,2,0,1,0,0,0,2,1,1,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Rayo Vallecano,Óscar Valentín,23,ESP,DM,30-360,10,0,0,0,0,1,0,0,0,10,1,1,0,0.1,0.1,0.0,0,0,3,4,75.0,0,5,1,0,ESP-La Liga,2526,23,ESP,DM,30-360,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Aarón Escandell,13,ESP,GK,29-322,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,30,38,78.9,0,17,0,0,ESP-La Liga,2526,13,ESP,GK,29-322,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Alberto Reina,5,ESP,DM,27-340,26,0,0,0,0,0,0,2,1,25,0,0,0,0.0,0.0,0.1,1,0,23,25,92.0,3,14,1,0,ESP-La Liga,2526,5,ESP,DM,27-340,26,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Borja Sánchez Laborde,16,ESP,CM,29-170,14,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,7,0,0,ESP-La Liga,2526,16,ESP,CM,29-170,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Dani Calvo,12,ESP,CB,31-136,90,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,0,0,31,32,96.9,1,20,0,0,ESP-La Liga,2526,12,ESP,CB,31-136,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Federico Viñas,9,URU,FW,27-046,28,0,0,0,0,1,1,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,1,ESP-La Liga,2526,9,URU,FW,27-046,28,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,66.7,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Haissem Hassan,10,FRA,"RW,RM",23-188,45,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,1,9,1,1,ESP-La Liga,2526,10,FRA,"RW,RM",23-188,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Ilyas Chaira,7,MAR,"CM,LW,LM",24-194,76,0,0,0,0,2,2,0,0,34,1,1,2,0.0,0.0,0.0,3,0,24,25,96.0,1,16,0,2,ESP-La Liga,2526,7,MAR,"CM,LW,LM",24-194,76,0,0,0,2,3,0,0,1,1,1,0,0,9,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Kwasi Sibo,6,GHA,"CM,DM",27-052,90,0,0,0,0,0,0,0,0,37,2,1,0,0.0,0.0,0.0,1,0,28,32,87.5,0,22,0,0,ESP-La Liga,2526,6,GHA,"CM,DM",27-052,90,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Luka Ilić,21,SRB,"CM,AM",26-044,76,0,0,0,0,0,0,0,0,27,1,2,0,0.0,0.0,0.0,0,0,13,19,68.4,0,9,1,0,ESP-La Liga,2526,21,SRB,"CM,AM",26-044,76,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Marco Esteban,30,ESP,CB,19-226,45,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,10,0,0,ESP-La Liga,2526,30,ESP,CB,19-226,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Nacho Vidal,22,ESP,RB,30-203,90,0,0,0,0,0,0,0,0,44,0,0,1,0.0,0.0,0.0,0,0,22,30,73.3,0,15,0,0,ESP-La Liga,2526,22,ESP,RB,30-203,90,0,0,0,1,0,1,0,0,0,0,0,0,5,3,0,100.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Oier Luengo,15,ESP,CB,27-277,90,0,0,0,0,0,0,0,0,39,4,0,1,0.0,0.0,0.0,1,0,25,29,86.2,0,25,0,0,ESP-La Liga,2526,15,ESP,CB,27-277,90,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Omar Falah,29,ESP,"LB,CM",21-340,14,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,0,5,0,0,ESP-La Liga,2526,29,ESP,"LB,CM",21-340,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Rahim Bonkano,3,NIG,LB,23-226,84,0,0,0,0,0,0,0,0,43,1,1,1,0.0,0.0,0.0,1,0,24,34,70.6,3,16,3,1,ESP-La Liga,2526,3,NIG,LB,23-226,84,0,0,0,0,0,0,1,1,1,0,0,0,6,1,0,100.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Salomón Rondón,23,VEN,FW,35-333,62,0,0,0,1,1,0,0,0,22,0,0,1,0.9,0.1,0.0,0,0,8,15,53.3,0,5,0,2,ESP-La Liga,2526,23,VEN,FW,35-333,62,0,0,0,1,1,0,0,0,0,0,0,0,3,3,1,75.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Oviedo,Santi Cazorla,8,ESP,CM,40-245,6,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,13,15,86.7,5,9,0,1,ESP-La Liga,2526,8,ESP,CM,40-245,6,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Alberto Moleiro,20,ESP,"RW,AM",21-319,21,0,0,0,0,0,0,0,0,20,0,0,2,0.0,0.0,0.0,1,0,13,16,81.3,1,15,1,0,ESP-La Liga,2526,20,ESP,"RW,AM",21-319,21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Alfonso Pedraza,24,ESP,LM,29-128,9,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,0,0,3,6,50.0,0,6,2,0,ESP-La Liga,2526,24,ESP,LM,29-128,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Daniel Parejo,10,ESP,"CM,DM",36-121,21,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,28,28,100.0,3,21,2,0,ESP-La Liga,2526,10,ESP,"CM,DM",36-121,21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Gerard Moreno,7,ESP,FW,33-130,46,0,0,0,0,4,2,0,0,44,0,0,0,0.3,0.3,0.8,7,0,28,37,75.7,7,30,3,1,ESP-La Liga,2526,7,ESP,FW,33-130,46,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,66.7,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Juan Foyth,8,ARG,CB,27-215,69,0,0,0,0,0,0,0,0,41,0,3,0,0.0,0.0,0.0,1,0,36,38,94.7,5,30,1,0,ESP-La Liga,2526,8,ARG,CB,27-215,69,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Karl Etta Eyong,29,CMR,FW,21-305,90,1,0,0,0,2,1,0,0,17,0,0,2,0.4,0.4,0.0,0,0,8,10,80.0,2,12,1,0,ESP-La Liga,2526,29,CMR,FW,21-305,90,0,0,0,1,2,0,0,0,0,0,0,0,1,1,3,25.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Luiz Lúcio Reis Júnior,1,BRA,GK,24-213,90,0,0,0,0,0,0,1,0,18,0,0,0,0.0,0.0,0.0,0,0,13,15,86.7,0,12,0,0,ESP-La Liga,2526,1,BRA,GK,24-213,90,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Nicolas Pépé,19,CIV,"RM,FW,RW",30-078,81,0,1,0,0,4,4,0,0,76,2,0,0,0.5,0.5,0.5,11,1,57,64,89.1,5,58,13,2,ESP-La Liga,2526,19,CIV,"RM,FW,RW",30-078,81,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Pape Gueye,18,SEN,CM,26-203,69,1,0,0,0,4,2,0,0,80,4,1,1,0.2,0.2,0.0,8,2,63,69,91.3,14,53,2,1,ESP-La Liga,2526,18,SEN,CM,26-203,69,0,0,0,1,3,0,1,1,3,0,0,0,4,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Rafa Marín,4,ESP,CB,23-088,90,0,0,0,0,0,0,0,0,82,0,2,0,0.0,0.0,0.0,0,0,74,80,92.5,4,61,1,0,ESP-La Liga,2526,4,ESP,CB,23-088,90,0,0,0,1,0,0,0,2,0,0,0,0,4,1,2,33.3,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Santi Comesaña,14,ESP,"CM,DM",28-314,81,0,0,0,0,3,0,0,0,81,0,0,0,0.5,0.5,0.1,3,0,71,77,92.2,10,51,2,0,ESP-La Liga,2526,14,ESP,"CM,DM",28-314,81,0,0,0,2,0,0,3,0,0,0,0,0,3,2,1,66.7,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Santiago Mouriño,15,URU,"RB,CB",23-183,90,0,0,0,0,1,0,0,0,105,2,1,0,0.0,0.0,0.0,2,0,96,98,98.0,4,65,3,0,ESP-La Liga,2526,15,URU,"RB,CB",23-183,90,0,0,0,1,1,0,1,1,1,0,0,0,8,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Sergi Cardona,23,ESP,"LB,CB",26-038,90,0,0,0,0,3,0,0,0,83,3,1,0,0.0,0.0,0.1,3,0,68,77,88.3,4,55,5,0,ESP-La Liga,2526,23,ESP,"LB,CB",26-038,90,0,0,0,0,0,0,8,1,3,0,0,0,5,1,0,100.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Tajon Buchanan,17,CAN,"RM,RB",26-188,44,0,0,0,0,1,0,0,0,38,0,3,1,0.2,0.2,0.0,0,0,26,33,78.8,0,20,4,0,ESP-La Liga,2526,17,CAN,"RM,RB",26-188,44,0,0,0,0,2,0,1,3,0,0,0,0,5,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Thomas Partey,16,GHA,CM,32-063,9,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,12,13,92.3,1,10,3,0,ESP-La Liga,2526,16,GHA,CM,32-063,9,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Villarreal-Oviedo,Villarreal,Yeremi Pino,21,ESP,"LM,LW",22-299,90,0,0,0,0,2,1,0,0,73,0,2,1,0.2,0.2,0.7,9,0,51,65,78.5,12,37,3,0,ESP-La Liga,2526,21,ESP,"LM,LW",22-299,90,0,0,0,1,0,0,7,2,0,0,0,0,2,0,2,0.0,2025-08-15
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Abde Rebbach,21,ALG,"CM,LM",27-005,14,0,0,0,0,2,1,0,0,20,0,1,1,0.1,0.1,0.0,3,1,10,16,62.5,4,11,2,0,ESP-La Liga,2526,21,ALG,"CM,LM",27-005,14,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,,2025-08-16
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Ander Guevara,6,ESP,CM,28-040,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,2,2,0,0,ESP-La Liga,2526,6,ESP,CM,28-040,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,2025-08-16
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Antonio Blanco,8,ESP,DM,25-024,90,0,0,0,0,1,0,0,0,85,2,4,3,0.0,0.0,0.1,1,0,61,72,84.7,8,39,0,0,ESP-La Liga,2526,8,ESP,DM,25-024,90,0,0,0,1,0,0,4,4,1,0,0,0,7,3,1,75.0,2025-08-16
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Antonio Sivera,1,ESP,GK,29-005,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,12,19,63.2,0,8,0,0,ESP-La Liga,2526,1,ESP,GK,29-005,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2025-08-16
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Calebe,20,BRA,RM,25-108,5,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.0,1,1,2,6,33.3,1,8,3,1,ESP-La Liga,2526,20,BRA,RM,25-108,5,0,0,0,0,1,0,3,0,2,0,0,0,2,0,0,,2025-08-16
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Carles Aleñá,10,ESP,LM,27-223,89,0,1,0,0,2,0,0,0,83,2,1,1,0.1,0.1,0.3,5,1,60,75,80.0,4,49,0,0,ESP-La Liga,2526,10,ESP,LM,27-223,89,0,0,0,3,0,0,8,1,1,0,0,0,6,1,0,100.0,2025-08-16
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Carlos Vicente,7,ESP,RM,26-115,85,0,0,0,0,1,0,0,0,44,2,0,0,0.1,0.1,0.1,3,0,20,34,58.8,0,29,1,1,ESP-La Liga,2526,7,ESP,RM,26-115,85,0,0,0,1,3,0,8,0,2,0,0,0,3,1,1,50.0,2025-08-16
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Facundo Garcés,2,MAS,CB,25-345,90,0,0,0,0,1,0,0,0,60,1,1,2,0.0,0.0,0.0,1,0,41,48,85.4,2,32,0,0,ESP-La Liga,2526,2,MAS,CB,25-345,90,0,0,0,1,0,1,0,1,0,0,0,0,5,3,6,33.3,2025-08-16
ESP-La Liga,2526,2025-08-16 Alavés-Levante,Alavés,Jon Guridi,18,ESP,CM,30-169,76,0,0,0,0,1,0,0,0,40,1,0,1,0.2,0.2,0.0,1,0,26,34,76.5,5,24,2,0,ESP-La Liga,2526,18,ESP,CM,30-169,76,0,0,0,2,2,0,2,0,1,0,0,0,1,1,0,100.0,2025-08-16
